ANO;TRIBO;AREA
2022;Jarawara/Jamamadi/Kanamati;0,07
2022;Kaxarari;1,09
2022;Barreira da Missão;0
2022;Igarapé Capana;0
2022;Banawá;0
2022;Kanamari do Rio Juruá;0,59
2022;Mamoadate;0,61
2022;Camadeni;0
2022;Anaro;0
2022;Alto Tarauacá;0
2022;Kampa e Isolados do Rio Envira;0,08
2022;Kulina Igarapé do Pau;0,08
2022;Karitiana;0,15
2022;Caititu;0,13
2022;Apurinã Km 124 BR-317;1,16
2022;Cacau do Tarauaca;0,08
2022;Bom Intento;0,06
2022;Macarrão;0,35
2022;São Francisco do Canimari;0
2022;Kampa do Rio Amônia;0,06
2022;Baú;0,15
2022;Krikati;0,16
2022;Kaxinawá do Rio Jordão;0,32
2022;Jaminawa do Igarapé Preto;0
2022;Kaxinawá Colônia Vinte e Sete;0
2022;Guanabara;0,07
2022;Jurubaxi-téa;0
2022;Mapari;0
2022;Peneri/Tacaquiri;1,03
2022;Évare II;0,06
2022;Igarapé do Caucho;0,06
2022;Kaxinawá Nova Olinda;0,61
2022;Alto Rio Negro;1,51
2022;Espírito Santo;0
2022;Jaminaua/Envira;0
2022;Kumaru do Lago Ualá;0
2022;Camicua;0,08
2022;Igarapé Grande;0
2022;Inauini/Teuini;0
2022;Hi Merimã;0
2022;Igarapé Taboca do Alto Tarauacá;0
2022;Barro Alto;0
2022;Cabeceira do Rio Acre;0,13
2022;Paumari do Lago Paricá;0
2022;Andirá-Marau;6,15
2022;Deni;1,85
2022;Balaio;0
2022;Campinas/Katukina;0,08
2022;Kaxinawá Ashaninka do Rio Breu;0,06
2022;Água Preta/Inari;0,14
2022;Kaxinawá do Baixo Rio Jordão;0
2022;Guajahã;0
2022;Ananás;0
2022;Sapotal;0
2022;Paraná do Arauató;0
2022;São Pedro do Sepatini;0
2022;Santana;0
2022;Igarapé Lage;1,01
2022;Kaxinawá do Rio Humaitá;0,13
2022;Mãe Maria;0,18
2022;Krenyê;0
2022;Kampa do Igarapé Primavera;0
2022;Badjonkore;0
2022;Jaminawa Arara do Rio Bagé;0,07
2022;Kaxinawá da Praia do Carapanã;0,26
2022;Alto Rio Purus;0,16
2022;Acapuri de Cima;0
2022;Betania;0
2022;Rio Guaporé;0,39
2022;Cuiu-Cuiu;0
2022;Catipari/Mamoria;0,2
2022;Lauro Sodré;0
2022;Boca do Acre;0,94
2022;Apurinã do Igarapé Mucuim;0
2022;Juma;0
2022;Igarapé Ribeirão;0,04
2022;Kulina do Medio Jurua;0,79
2022;Estrela da Paz;0,07
2022;Arara do Igarapé Humaitá;0,17
2022;Kulina do Rio Envira;0
2022;Évare I;1,18
2022;Karipuna;17,41
2022;Marajai;0
2022;Jacareúba/Katauixi (restrição uso);0
2022;Kaxinawá Seringal Independência;0,19
2022;Matintin;0
2022;Acimã;0
2022;Cué Cué/ Marabitanas;0,14
2022;Mawetek;0,29
2022;Alto Sepatini;0
2022;Apiaka/Kayabi;0,01
2022;Arara da Volta Grande do Xingu;0,22
2022;Apiaká do Pontal e Isolados;0,02
2022;Katukina/Kaxinawá;0,52
2022;Miratu;0
2022;Lago do Correio;0,04
2022;Jaquiri;0
2022;Paumari do Rio Ituxi;0
2022;Arara do Rio Amônia;0,1
2022;Paracuhuba;0
2022;Tuwa Apekuokawera;0,49
2022;Jumina;0
2022;Tikuna de Santo Antonio;0,2
2022;Nova Jacundá;0
2022;Estivadinho;0
2022;Apurinã Igarapé Tauamirim;0
2022;Juruna do Km 17;0
2022;Fortaleza do Castanho;0
2022;Capoto/Jarina;0,09
2022;Jauary;1,08
2022;Nhamundá/Mapuera;0,21
2022;Uru-Eu-Wau-Wau;1,88
2022;Santa Cruz da Nova Aliança;0
2022;Pium;0
2022;Aripuanã;3,24
2022;Uirapuru;0
2022;Wedezé;0,11
2022;Turé/Mariquita;0
2022;Itaitinga;0
2022;Taego Ãwa;0
2022;Parabubure;0
2022;Meria;0
2022;Trincheira Bacaja;14,97
2022;Nambikwara;0,06
2022;Vale do Guaporé;0,17
2022;Muriru;0
2022;Cunhã-Sapucaia;0
2022;Jarudore;0
2022;Ponte de Pedra;0
2022;Alto Rio Guamá;2,27
2022;Aningal;0
2022;Rio Paru DEste;0
2022;Menkragnoti;1,61
2022;Porquinhos;0
2022;Serra Morena;0,34
2022;Bacurizinho;0
2022;Cachoeira Seca;27,47
2022;Anambé;0,06
2022;Barreirinha;0
2022;Tumiã;0
2022;Setemã;0
2022;Fortaleza do Patauá;0
2022;Paquiçamba;0,36
2022;Maraitá;0
2022;Massaco;0
2022;Boqueirão;0
2022;Apyterewa;102,23
2022;Sawré Muybu (Pimental);0,04
2022;Recreio/São Félix;0
2022;Wawi;0
2022;Cuia;0,16
2022;Kaxuyana-Tunayana;0,23
2022;Tapirapé/Karajá;0
2022;Trocará;0,07
2022;Ariramba;0
2022;Cobra Grande;0
2022;Rio Negro Ocaia;0,43
2022;Arara;0,01
2022;Rio Gregório;0,25
2022;Parakanã;0,41
2022;Parque do Araguaia;0
2022;Nova Esperança do Rio Jandiatuba;0
2022;Ponta da Serra;0
2022;Médio Rio Negro I;0,25
2022;Murutinga/Tracaja;1,53
2022;Tukuna Umariaçu;0,18
2022;Tenharim Marmelos;0,49
2022;Canauanim;0
2022;Maraiwatsede;4,53
2022;Parana do Paricá;0
2022;Parana do Boa Boa;0
2022;Krenrehé;0
2022;Urucu/Juruá;0,07
2022;Sangradouro/Volta Grande;0
2022;Karajá de Aruanã II;0
2022;Morro Branco;0
2022;Lagoa dos Brincos;0
2022;Cana Brava/Guajajara;0,24
2022;Médio Rio Negro II;0
2022;Riozinho;0,1
2022;Rio Gregório;0
2022;Tupã-Supé;0
2022;Rio Branco;0,35
2022;Merure;0
2022;Porquinhos dos Canela-Apãnjekra;0,5
2022;Erikpatsá;0
2022;Panará;0,96
2022;Bakairi;0
2022;Apurinã do Igarapé São João;0
2022;Sururuá;0,08
2022;Uty-Xunaty;0
2022;Vista Alegre;0
2022;Mangueira;0
2022;Cacique Fontoura;0
2022;Boa Vista - AM;0
2022;Lago do Beruri;0
2022;Chão Preto;0
2022;Perigara;0
2022;Parque do Xingu;1,65
2022;Igarapé Lourdes;0,68
2022;Piripkura ( restrição de uso );0,44
2022;Paresi;0
2022;Coata-Laranjal;0,35
2022;Bom Jesus;0
2022;Paumari do Lago Marahã;0,4
2022;Estação Parecis;0
2022;Rio Biá;0,7
2022;Menkü;0,38
2022;Tubarão Latunde;0,19
2022;São Marcos - RR;0,39
2022;Sepoti;4,41
2022;Tereza Cristina;0
2022;Umutina;0
2022;Tikúna de Feijoal;0,1
2022;Kayapó;8,49
2022;Yanomami;22,8
2022;Paquiçamba;0,29
2022;Amanayé;0,58
2022;Marechal Rondon;0
2022;Lago do Marinheiro;0
2022;Moskow;0,29
2022;Raposa Serra do Sol;0,49
2022;Rio Negro Ocaia;0,59
2022;Pirititi;0,05
2022;Nove de Janeiro;0
2022;Caru;0,23
2022;Inawebohona;0
2022;Sucuba;0
2022;Torá;0
2022;Serra da Moça;0
2022;Xipaya;0,06
2022;Trocará - Doação;0
2022;Sissaíma;3,57
2022;Rio Mequens;0,07
2022;Rio Apaporis;0,07
2022;Guató;0
2022;Maracaxi;0
2022;São Domingos - MT;0
2022;Pacaas Novas;5,01
2022;Juininha;0
2022;Awa;0,27
2022;Pimentel Barbosa;0
2022;Araweté Igarapé Ipixuna;2,04
2022;Lago Jauari;0
2022;Manoa/Pium;0,78
2022;Sete de Setembro;2,05
2022;Kraolandia;0
2022;Krahó-Kanela;0
2022;Uneiuxi;0
2022;São Marcos - MT;0
2022;Kanela;0
2022;Xambioá;0
2022;Xerente;0
2022;Bragança-Marituba;0
2022;Bacurizinho;3,17
2022;Tabalascada;0,1
2022;Utiariti;0
2022;Galibi;0
2022;Pirineus de Souza;0,32
2022;Malacacheta;0,17
2022;Lagoa Comprida;0
2022;Paumari do Cuniua;0,31
2022;Gavião;0,17
2022;Poyanawa;0,07
2022;Arary;0,45
2022;Koatinemo;0,18
2022;Rio Omerê;0
2022;Truaru;0,08
2022;Diahui;0
2022;Prosperidade;0
2022;Ubawawe;0
2022;Pinatuba;0
2022;Portal do Encantado;0,25
2022;Tukuna Porto Espiritual;0,08
2022;Waiãpi;0,75
2022;Miguel/Josefa;0
2022;Sararé;1,1
2022;Rio Jumas;0
2022;Arara do Rio Branco;0,71
2022;Rodeador;0
2022;Anta;0
2022;Praia do Mangue;0
2022;Rio Formoso;0
2022;Praia do Índio;0
2022;Karajá de Aruanã III;0
2022;Santa Inez;0,05
2022;Munduruku;4,59
2022;Baía dos Guató;0
2022;Tembé;0
2022;Paumari do Lago Manissuã;0
2022;Turé/Mariquita II;0
2022;Maraã Urubaxi;0
2022;Kawahiva do Rio Pardo;0,12
2022;Pequizal;0
2022;Maró;0
2022;Enawenê-Nawê;0,46
2022;Las Casas;0
2022;Cajueiro;0
2022;Jatuarana;0
2022;Lago Capanã;0
2022;Vale do Javari;2,01
2022;Apinayé;0
2022;Itixi Mitari;0,06
2022;Parque do Tumucumaque;0
2022;Japuira;0
2022;Sai-Cinza;0,52
2022;São Sebastião;0,08
2022;Jacamim;0,1
2022;Alto Turiaçu;0,98
2022;Barata Livramento;0
2022;Vui-Uata-In;0,07
2022;Manoki;5,01
2022;Natal/Felicidade;0
2022;Ilha do Camaleão;0
2022;Kayabi;3,81
2022;Tabocal;0
2022;Sagarana;0,27
2022;Tirecatinga;0
2022;Waimiri-Atroari;1,35
2022;WaiWái;0,02
2022;Trombetas/Mapuera;0,51
2022;Terena Gleba Iriri;0,09
2022;Kwazá do Rio São Pedro;0
2022;Zuruahã;0
2022;Maranduba;0
2022;Lago do Limão;0,42
2022;Uneiuxi;0,08
2022;Araçá;0
2022;Zoró;1,42
2022;Kuruáya;0
2022;Tadarimana;0
2022;Karajá Santana do Araguaia;0
2022;Batovi;0,09
2022;Rio Urubu;0,19
2022;Pirahã;0,42
2022;Munduruku-Taquara;0,02
2022;Roosevelt;0,77
2022;São Leopoldo;0,11
2022;Governador;0
2022;Sarauá;0,49
2022;Tanaru ( restrição de uso );0
2022;Sororó;0
2022;Geralda Toco Preto;0
2022;Menkü;0
2022;Zoe;0,07
2022;Irantxe;0
2022;Rio Téa;0
2022;Apipica;0
2022;Porto Limoeiro;0
2022;Xikrin do Rio Catete;0,62
2022;Figueiras;0
2022;Riozinho do Alto Envira;0,08
2022;Lago Aiapua;0
2022;Ouro;0
2022;Utaria Wyhyna/Iròdu Iràna;0
2022;Rio Manicoré;0
2022;Uati-Paraná;0
2022;Funil;0
2022;Batelão;0
2022;Patauá;0
2022;Nukini;0,06
2022;Porto Praia;0
2022;Raimundão;0
2022;Kanela Memortumré;0,27
2022;Ipixuna;0,49
2022;Uaçá;0,83
2022;São Pedro;0
2022;Ituna/Itatá (restrição de uso);18,05
2022;Arariboia;1,29
2022;Rio Pindaré;0
2022;Areões;0
2022;Kararaô;0
2022;São Domingos do Jacapari e Estação;0
2022;Pequizal do Naruvôtu;0,24
2022;Jabuti;0
2022;Padre;0
2022;Parque do Aripuanã;0,09
2022;Ponciano;0,78
2022;Cajuhiri Atravessado;0
2022;Paukalirajausu;0
2022;Seruini/Mariene;0,64
2022;Escondido;0,1
2022;Trincheira;0
2022;Tenharim Marmelos (Gleba B);7,37
2022;Urubu Branco;0,68
2022;Taihantesu;0
2022;Tenharim do Igarapé Preto;0,08
2021;Jarawara/Jamamadi/Kanamati;0,13
2021;Kaxarari;1,29
2021;Barreira da Missão;0,07
2021;Igarapé Capana;0
2021;Banawá;0
2021;Kanamari do Rio Juruá;0,7
2021;Mamoadate;0,75
2021;Camadeni;0
2021;Anaro;0
2021;Alto Tarauacá;0
2021;Kampa e Isolados do Rio Envira;0
2021;Kulina Igarapé do Pau;0,03
2021;Karitiana;0,19
2021;Caititu;0,39
2021;Apurinã Km 124 BR-317;1,39
2021;Cacau do Tarauaca;0,08
2021;Bom Intento;0
2021;Macarrão;0
2021;São Francisco do Canimari;0,17
2021;Kampa do Rio Amônia;0,06
2021;Baú;1,29
2021;Krikati;0,2
2021;Kaxinawá do Rio Jordão;0,33
2021;Jaminawa do Igarapé Preto;0,07
2021;Kaxinawá Colônia Vinte e Sete;0
2021;Guanabara;0,09
2021;Jurubaxi-téa;0,18
2021;Mapari;0
2021;Peneri/Tacaquiri;0,47
2021;Évare II;0,73
2021;Igarapé do Caucho;0,15
2021;Kaxinawá Nova Olinda;0,31
2021;Alto Rio Negro;4,04
2021;Espírito Santo;0
2021;Jaminaua/Envira;0,24
2021;Kumaru do Lago Ualá;0,2
2021;Camicua;0,11
2021;Igarapé Grande;0,06
2021;Inauini/Teuini;0,22
2021;Hi Merimã;0
2021;Igarapé Taboca do Alto Tarauacá;0
2021;Barro Alto;0
2021;Cabeceira do Rio Acre;0,34
2021;Paumari do Lago Paricá;0
2021;Andirá-Marau;4,78
2021;Deni;0,46
2021;Balaio;0,11
2021;Campinas/Katukina;0,18
2021;Kaxinawá Ashaninka do Rio Breu;0
2021;Água Preta/Inari;0,08
2021;Kaxinawá do Baixo Rio Jordão;0,1
2021;Guajahã;0
2021;Ananás;0
2021;Sapotal;0
2021;Paraná do Arauató;0
2021;São Pedro do Sepatini;0
2021;Santana;0
2021;Igarapé Lage;0,51
2021;Kaxinawá do Rio Humaitá;0,41
2021;Mãe Maria;0,21
2021;Krenyê;0
2021;Kampa do Igarapé Primavera;0
2021;Badjonkore;0,03
2021;Jaminawa Arara do Rio Bagé;0
2021;Kaxinawá da Praia do Carapanã;0,4
